,time,HR
0,1,119.02341042741286
1,2,99.31754777386816
2,3,98.98976708814584
3,4,102.95388819579472
4,5,102.02006608064015
5,6,104.58123928768553
6,7,104.14548412398685
7,8,105.49802287884381
8,9,110.1470882938438
9,10,110.85390495985085
10,11,113.85970498587719
11,12,116.25542413840392
12,13,119.29391817838493
13,14,122.39077568433714
14,15,124.58525203617125
15,16,126.15730568962448
16,17,128.86745189133498
17,18,132.3718302884318
18,19,134.89319848440212
19,20,137.167222992568
20,21,139.29055461784012
21,22,141.6378584086219
22,23,142.67711144258664
23,24,143.7407320816687
24,25,144.78762426993293
25,26,145.44455541453337
26,27,145.97440807542418
27,28,146.39104926755635
28,29,146.87734255836494
29,30,147.18080814216322
30,31,147.94498679295333
31,32,148.09877576051343
32,33,149.0282659849518
33,34,149.49740008563887
34,35,149.9694971385412
35,36,150.60361763384157
36,37,151.40384939597644
37,38,151.88808345587867
38,39,152.5385677533341
39,40,153.49999707117817
40,41,154.18941805369485
41,42,155.2479266444522
42,43,155.53605052577936
43,44,156.3811231893026
44,45,157.20073075318746
45,46,157.530984389224
46,47,158.36272137121546
47,48,159.0344614406587
48,49,159.37247304839659
49,50,161.25752380488274
50,51,161.34013524125808
51,52,163.17924559115852
52,53,163.68812057740973
53,54,163.8584516081874
54,55,164.54333541846242
55,56,165.58146371763223
56,57,166.1293523186254
57,58,164.8879287910662
58,59,166.28085743977638
59,60,165.23396851570595
