,time,HR
0,1,
1,2,104.22403578163853
2,3,104.58718573209724
3,4,105.19809219081273
4,5,105.26836479748663
5,6,104.22403578163853
6,7,103.70029690836395
7,8,103.62435778519644
8,9,103.56018841997205
9,10,104.00180969255187
10,11,104.44721358845148
11,12,104.6713492399288
12,13,105.46345674769046
13,14,107.55644706903382
14,15,109.12046699285644
15,16,110.0081969297295
16,17,111.17230483374776
17,18,112.00194889967126
18,19,112.84406881621015
19,20,113.45337804307957
20,21,113.92910793944294
21,22,114.04453763340386
22,23,114.31754958421288
23,24,114.19329137814314
24,25,114.31754958421298
25,26,114.81729843485417
26,27,115.19498691654785
27,28,114.94291911147883
28,29,115.19498691654779
29,30,115.44816271196895
30,31,115.44816271196883
31,32,115.92374731634366
32,33,115.56669265315152
33,34,115.56669265315162
34,35,115.80448420182056
35,36,116.16301201668684
36,37,116.52376671239091
37,38,117.00827301888734
38,39,117.25204025434338
39,40,117.64594408498509
40,41,117.9100202782173
41,42,118.44174528510905
42,43,118.70941024620515
43,44,119.11318375044408
44,45,119.11318375044408
45,46,119.74676451507418
46,47,120.25850282496752
47,48,120.79083422580246
48,49,121.27887800045194
49,50,122.0183833541135
50,51,122.89261946821645
51,52,123.65199713743318
52,53,124.29201782655029
53,54,124.93003179153102
54,55,125.0688429379664
55,56,125.34739269952068
56,57,125.34739269952068
57,58,125.20796289674053
58,59,124.80882455347981
59,60,124.79152843034335
