,time,HR
0,1,
1,2,89.33641261040306
2,3,90.05110391128629
3,4,92.18990981908917
4,5,92.45493214711117
5,6,93.51101133051536
6,7,93.6731316691605
7,8,93.69675965041138
8,9,94.29434964532595
9,10,95.4298789040606
10,11,96.10576724790424
11,12,96.82914399063041
12,13,97.35254476895814
13,14,97.98814353785231
14,15,99.04097722899505
15,16,100.27962573639897
16,17,101.75265978676416
17,18,102.5818744169928
18,19,103.89282488877542
19,20,104.58897086095966
20,21,105.35136346712761
21,22,106.26945813786503
22,23,106.85143764573938
23,24,107.64305453876433
24,25,108.08603007184573
25,26,108.63626121443231
26,27,109.24452695471457
27,28,109.89500128643716
28,29,110.93940995758605
29,30,111.52826032891083
30,31,112.36323126185454
31,32,113.33292473552741
32,33,113.94752844884385
33,34,114.744016196848
34,35,115.568665183889
35,36,116.40525324623363
36,37,117.37630853921563
37,38,118.36370125037634
38,39,119.4945646381187
39,40,120.51807268641112
40,41,121.29728436326272
41,42,122.21919640511179
42,43,123.2901203604685
43,44,124.10571101334958
44,45,124.65545945637629
45,46,125.4892752386933
46,47,126.25461466706803
47,48,126.78789709438412
48,49,127.3257036568206
49,50,127.73206228551244
50,51,128.27792579955317
51,52,128.55261086550502
52,53,129.1218595219185
53,54,129.51512406868554
54,55,129.8033930252776
55,56,130.22574679867856
56,57,130.6508580504698
57,58,131.24732223009826
58,59,131.65366068901497
59,60,132.33651162619856
