,time,HR
0,1,
1,2,50.3641139401608
2,3,50.3641139401608
3,4,50.19567208751811
4,5,51.87271643145593
5,6,52.75397523433362
6,7,53.22165231974439
7,8,53.47448677256978
8,9,54.44439886638905
9,10,55.450145150866696
10,11,55.294495620618655
11,12,55.294495620618655
12,13,55.23635209210066
13,14,55.24603418712119
14,15,55.45014515086672
15,16,55.93232032609162
16,17,56.28189732812971
17,18,56.21163278714576
18,19,56.85040134154513
19,20,56.56472093279364
20,21,56.422954714916976
21,22,56.24172466765279
22,23,55.882734935731584
23,24,55.82334839488593
24,25,56.18157309046814
25,26,55.823348394886004
26,27,56.85040134154515
27,28,56.72761429761091
28,29,56.3624150639353
29,30,56.35233775031762
30,31,55.518517709622394
31,32,55.381940790287544
32,33,55.5870590895108
33,34,54.18233196450511
34,35,53.92277588323805
35,36,53.98743148981272
36,37,54.37864476147808
37,38,55.120431101351194
38,39,55.2363520921006
39,40,54.832746179110416
40,41,55.942247965482125
41,42,56.3624150639353
42,43,56.666419460180784
43,44,56.99432640823242
44,45,56.071628720428116
45,46,55.93232032609167
46,47,56.99432640823242
47,48,56.49374888645387
48,49,56.70720133816585
49,50,56.85040134154531
50,51,56.14154346945611
51,52,55.76408794011435
52,53,55.76408794011435
53,54,55.294495620618655
54,55,54.66157215357718
55,56,54.31304929131937
56,57,53.28463652367315
57,58,54.0522423319372
58,59,54.378644761477986
59,60,54.51031218220788
