,time,HR
0,1,
1,2,107.97310181694928
2,3,108.75551559823153
3,4,109.28345499433944
4,5,109.54935147851057
5,6,109.81654501870206
6,7,110.20752515228
7,8,110.60509919684088
8,9,111.29007210581743
9,10,112.24126930330307
10,11,112.8440688162102
11,12,113.57603034366669
12,13,114.4420785053286
13,14,115.09402724352721
14,15,116.04325633419549
15,16,117.00827301888731
16,17,118.11328294246546
17,18,119.49252509996775
18,19,120.77463373837944
19,20,121.82030156295413
20,21,122.88423432769619
21,22,123.83053756234283
22,23,124.65333183186004
23,24,125.46090827632972
24,25,125.72365363397648
25,26,125.72365363397654
26,27,125.85543943443135
27,28,125.59214353603302
28,29,125.19925883258347
29,30,124.93869846040346
30,31,124.54988508345185
31,32,124.377854855436
32,33,124.377854855436
33,34,124.65333183186004
34,35,125.19925883258341
35,36,125.59214353603313
36,37,126.25245974810471
37,38,126.51853447887001
38,39,126.51853447887012
39,40,126.38535707415556
40,41,126.51853447887012
41,42,126.38535707415556
42,43,126.61637642763726
43,44,127.1886538352198
44,45,127.5941436986691
45,46,128.41292964753737
46,47,128.9646500756687
47,48,129.80117753561902
48,49,130.4398975426642
49,50,131.1101950634384
50,51,131.51569051208796
51,52,131.94075738510722
52,53,132.08590673316576
53,54,132.19711896033735
54,55,132.47167164769
55,56,132.74736711417847
56,57,132.96355395398405
57,58,133.30221504360046
58,59,133.58138198609993
59,60,134.0023317192493
