,time,HR
0,1,89.33780022334452
1,2,92.07822354307902
2,3,94.09874882458858
3,4,95.80053470758645
4,5,96.74148532472668
5,6,98.4539022869511
6,7,98.8600328220004
7,8,99.34508945406539
8,9,101.06902651529882
9,10,101.83390171596263
10,11,102.7996605309718
11,12,103.15292396922248
12,13,103.12566368276136
13,14,104.00520026001303
14,15,105.46689496636994
15,16,106.503141750974
16,17,107.42459413359218
17,18,108.396530937658
18,19,109.3686971344083
19,20,109.89670822453252
20,21,110.59079269752962
21,22,110.82410660617418
22,23,110.9411331179019
23,24,111.17592916682872
24,25,111.23931339098316
25,26,111.64851547572063
26,27,112.84774765054037
27,28,113.70265482971124
28,29,114.94666637051756
29,30,115.83379609994836
30,31,116.86457515311818
31,32,117.3868749303386
32,33,117.7464730977135
33,34,118.3655397280905
34,35,118.74011422090095
35,36,118.86549976918043
36,37,119.24325029810795
37,38,119.36970125282508
38,39,119.62340943827215
39,40,120.00600030001489
40,41,120.51994462678164
41,42,121.03830998001541
42,43,121.69257111504224
43,44,122.48708191666393
44,45,123.52881018536542
45,46,124.0392598142304
46,47,124.42487409344561
47,48,124.81289345132558
48,49,125.0729203126825
49,50,125.20334045899382
50,51,125.4649984327848
51,52,125.4649984327848
52,53,125.91233588525047
53,54,126.65612183562762
54,55,127.1928003179818
55,56,127.73404627678207
56,57,128.41711604296776
57,58,128.83047585855707
58,59,129.3857796338093
59,60,129.91280928608526
