,time,HR
0,1,125.03495609514529
1,2,124.34415523274052
2,3,122.98520271653516
3,4,122.69785411205783
4,5,123.2096282689379
5,6,123.5375314712506
6,7,124.14818335688115
7,8,124.64543909796367
8,9,125.16533665415922
9,10,125.82133946681195
10,11,126.88536770754638
11,12,127.55957263691684
12,13,128.3781367393993
13,14,129.08467127231512
14,15,129.90644789105926
15,16,130.61322943562422
16,17,131.04100202111195
17,18,131.18421623097097
18,19,131.07467134331682
19,20,130.94009775877532
20,21,130.8058002226129
21,22,130.755509641981
22,23,130.47125853406362
23,24,130.3295959297922
24,25,130.404555436654
25,26,130.80580022261307
26,27,131.32774381984527
27,28,131.7602171803938
28,29,132.1955482944261
29,30,132.43577904158627
30,31,132.43577904158576
31,32,132.2983975280575
32,33,132.487370696842
33,34,132.573446171567
34,35,132.84964085109087
35,36,132.98817019504392
36,37,133.40549708896157
37,38,134.24805812320793
38,39,134.9583653090447
39,40,135.67622895430586
40,41,136.11062456461843
41,42,136.6941642197725
42,43,137.13511313661036
43,44,137.28272897421652
44,45,137.79362508444467
45,46,138.1751410802243
46,47,138.7765562753507
47,48,139.2141779203671
48,49,139.79063414363935
49,50,140.45777006282822
50,51,141.10527960580623
51,52,141.400788044771
52,53,141.69753681296515
53,54,141.84637876339937
54,55,142.14500271869062
55,56,142.59530367767275
56,57,142.89709268016503
57,58,143.2561306014721
58,59,143.50451921653064
59,60,143.6571835986763
