,time,HR
0,1,127.19077654715684
1,2,125.07093027137087
2,3,124.24264596493794
3,4,124.47817704733595
4,5,124.37993065661193
5,6,123.02058715216806
6,7,122.40316889795392
7,8,121.69063485863113
8,9,120.77664940368432
9,10,119.4945193675518
10,11,118.61310563143708
11,12,117.86789240233908
12,13,117.62156451853063
13,14,117.86789240233907
14,15,117.86789240233904
15,16,118.36365640823745
16,17,118.73822494117488
17,18,119.3678019557092
18,19,119.7487630257806
19,20,120.00409087871402
20,21,120.51802702808754
21,22,120.77664940368426
22,23,121.03638413358472
23,24,121.69063485863111
24,25,122.2191501023168
25,26,122.88628520112859
26,27,124.68130120510483
27,28,125.72575189582827
28,29,126.92187427115864
29,30,128.14097445092415
30,31,128.8284260305967
31,32,127.46082065872186
32,33,124.29409219515105
33,34,122.08659137118637
34,35,116.47403705981334
35,36,111.17416024121859
36,37,107.91518319874916
37,38,104.78552697279193
38,39,103.1240228453165
39,40,104.00354542821893
40,41,105.12427328843657
41,42,105.6937438912994
42,43,107.20365451831779
43,44,107.55824212973464
44,45,107.75341684918104
45,46,106.98531713640665
46,47,106.03839740398843
47,48,103.45209502828132
48,49,102.33076113112159
49,50,101.40886238219274
50,51,100.05674421709658
51,52,99.61401526038392
52,53,99.50394452528946
53,54,98.95721955537036
54,55,98.52414638444964
55,56,99.06608338326409
56,57,99.5462506241523
57,58,100.16804204158741
58,59,100.72826599036587
59,60,100.36556132887777
